DateTime,AddedIPs,RemovedIPs
1537252954,5,1
1537254877,1,0
1537256155,1,0
1537259342,4,0
1537260988,2,0
1537263291,2,0
1537264530,8,0
1537265745,3,0
1537266525,4,0
1537268200,3,0
1537269275,2,1
1537270493,2,1
1537273715,12,0
1537275403,2,0
1537278053,1,0
1537279839,1,0
1537281760,4,1
1537284345,1,0
1537286450,4,5
1537287638,2,0
1537288836,4,0
1537290335,2,0
1537291841,3,0
1537292558,2,0
1537294188,4,0
1537295397,4,0
1537296990,3,0
1537298144,1,0
1537298934,2,0
1537300589,3,0
1537301685,1,0
1537303536,3,0
1537306138,4,0
1537306949,0,8
1537308269,0,11
1537310142,3,3
1537311336,2,1
1537312467,0,1
1537313329,1,0
1537315001,3,10
1537316929,0,5
1537318538,1,6
1537319740,5,0
1537321232,23,2
1537322449,6,2
1537323272,1,0
1537324964,2,0
1537325803,1,0
1537326888,5,1
1537327718,1,1
1537328573,3,2
1537331459,16,0
1537333010,6,0
1537334147,7,0
1537335779,11,1
1537336953,6,0
1537339241,2,0
1537340623,1,0
1537341933,2,0
1537343789,1,0
1537345741,4,0
1537347405,4,0
1537348485,0,1
1537351185,6,0
1537352447,4,0
1537353643,1,0
1537357361,4,0
1537358927,1,1
1537359282,2,0
1537361795,6,1
1537362946,1,0
1537364559,3,0
1537365389,3,0
1537367329,7,0
1537369146,3,1
1537370084,1,0
1537370937,1,0
1537372596,0,4
1537373668,3,0
1537374538,1,2
1537375886,1,0
1537377040,2,0
1537378242,10,0
1537380635,2,1
1537382555,2,0
1537383943,3,0
1537385730,3,0
1537387474,1,0
1537388937,2,0
1537391436,3,0
1537392917,1,19
1537395268,0,4
1537396126,4,0
1537397791,0,40
1537398882,1,8
1537400564,4,11
1537401406,1,0
1537402482,4,68
1537403400,2,16
1537404154,7,1
1537404991,4,0
1537406926,8,6
1537408597,8,2
1537409787,4,5
1537411253,3,2
1537412747,0,5
1537414550,3,3
1537415793,3,2
1537416985,0,1
1537418551,2,0
1537419945,3,0
1537420481,1,0
1537422051,8,0
1537423017,3,0
1537424146,1,0
1537425018,1,0
1537426231,4,0
1537427443,4,1
1537428645,1,3
1537429834,4,0
1537431035,3,6
1537432257,4,0
1537433493,1,0
1537434875,2,0
1537438239,4,0
1537440157,5,0
1537441538,1,0
1537443752,1,0
1537445454,5,0
1537445668,1,0
1537447241,2,0
1537448204,2,0
1537449336,1,0
1537451744,1,0
1537453734,2,0
1537455030,2,0
1537457395,1,3
1537458186,2,0
1537459422,1,3
1537461342,1,1
1537463743,2,0
1537467277,0,1
1537469801,2,1
1537471730,1,0
1537474471,0,1
1537475902,1,0
1537478142,1,0
1537478928,1,0
1537480238,0,27
1537481453,1,5
1537483354,3,16
1537484741,0,58
1537486520,7,38
1537486964,22,15
1537488652,23,43
1537490573,38,32
1537491393,2,0
1537492540,6,10
1537494043,11,3
1537495833,1,2
1537496941,3,0
1537497755,0,4
1537499681,2,15
1537500532,2,0
1537502194,0,17
1537504137,6,0
1537505807,3,0
1537506951,4,0
1537508551,4,0
1537509770,4,1
1537512040,5,0
1537513534,1,0
1537514821,2,0
1537515935,4,1
1537517667,6,1
1537519242,1,0
1537520736,3,0
1537523138,2,0
1537524237,2,0
1537525777,1,0
1537529336,4,0
1537530525,2,0
1537532068,3,0
1537533765,3,0
1537534600,1,0
1537535669,3,0
1537538680,1,0
1537539275,1,0
1537540948,1,2
1537544561,5,16
1537545762,6,0
1537546480,1,0
1537548150,5,4
1537550081,1,1
1537552588,1,2
1537553736,3,1
1537554538,1,0
1537556188,2,0
1537558961,2,0
1537561840,2,2
1537563934,2,1
1537564469,3,0
1537565731,4,31
1537566994,2,1
1537568081,3,4
1537569572,2,19
1537571138,0,36
1537571677,2,0
1537572521,6,0
1537575022,14,57
1537576226,25,37
1537577412,11,0
1537579741,5,13
1537580564,37,6
1537584045,2,2
1537585008,3,0
1537586143,3,1
1537587346,21,0
1537588554,1,0
1537589737,2,1
1537592205,2,1
1537594185,4,1
1537596643,8,3
1537597787,1,0
1537599335,3,0
1537600547,3,0
1537601734,1,0
1537602918,1,1
1537604075,4,0
1537604938,4,0
1537606600,1,1
1537607673,1,0
1537608830,1,0
1537610640,2,1
1537612120,5,0
1537612958,1,0
1537614874,1,0
1537617339,1,0
1537618468,2,0
1537619801,1,0
1537621556,4,0
1537624172,1,0
1537626533,5,0
1537627360,3,0
1537629268,1,0
1537630962,0,21
1537631791,5,0
1537632868,2,0
1537633737,1,0
1537635036,2,0
1537636467,1,0
1537638158,7,0
1537639550,2,0
1537641257,1,0
1537642535,2,0
1537643667,1,0
1537645350,4,0
1537647036,2,2
1537648131,1,0
1537649735,2,1
1537650876,2,0
1537652138,2,14
1537654542,3,5
1537655385,1,13
1537657003,3,15
1537658078,3,11
1537659766,4,46
1537661683,50,26
1537663362,17,15
1537664204,3,0
1537665345,2,1
1537666520,4,2
1537668462,1,1
1537669847,0,3
1537672485,0,2
1537673330,1,0
1537674933,3,3
1537676145,2,2
1537677765,2,0
1537679031,1,0
1537680650,7,0
1537683273,4,1
1537684134,2,0
1537686170,0,1
1537690468,3,1
1537691334,1,0
1537692987,2,0
1537694137,2,1
1537695763,3,2
1537697439,5,0
